image_id class_id path
1 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg
2 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg
3 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg
4 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg
5 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg
6 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg
7 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg
8 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg
9 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg
10 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg
11 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg
12 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg
13 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg
14 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg
15 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg
16 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg
17 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg
18 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg
19 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg
20 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg
21 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg
22 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg
23 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg
24 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg
25 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg
26 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg
27 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg
28 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg
29 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg
30 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg
31 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg
32 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg
33 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg
34 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg
35 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg
36 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg
37 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg
38 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg
39 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg
40 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg
41 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg
42 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg
43 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg
44 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg
45 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg
46 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg
47 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg
48 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg
49 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg
50 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg
51 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg
52 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg
53 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg
54 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg
55 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg
56 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg
57 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg
58 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg
59 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg
60 0 images/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg
61 1 images/002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg
62 1 images/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg
63 1 images/002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg
64 1 images/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg
65 1 images/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg
66 1 images/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg
67 1 images/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg
68 1 images/002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg
69 1 images/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg
70 1 images/002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg
71 1 images/002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg
72 1 images/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg
73 1 images/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg
74 1 images/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg
75 1 images/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg
76 1 images/002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg
77 1 images/002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg
78 1 images/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg
79 1 images/002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg
80 1 images/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg
81 1 images/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg
82 1 images/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg
83 1 images/002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg
84 1 images/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg
85 1 images/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg
86 1 images/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg
87 1 images/002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg
88 1 images/002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg
89 1 images/002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg
90 1 images/002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg
91 1 images/002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg
92 1 images/002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg
93 1 images/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg
94 1 images/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg
95 1 images/002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg
96 1 images/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg
97 1 images/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg
98 1 images/002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg
99 1 images/002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg
100 1 images/002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg
101 1 images/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg
102 1 images/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg
103 1 images/002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg
104 1 images/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg
105 1 images/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg
106 1 images/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg
107 1 images/002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg
108 1 images/002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg
